,0,1,2,x,y,z
38,3.183526398,3.29833722,4.199053924,0.298057389,0.308806543,0.393136068
39,3.978772777,4.221174708,4.22592258,0.320200739,0.339708583,0.340090678
40,2.834091822,2.970310739,3.464434485,0.305765633,0.320462074,0.373772294
41,4.788868728,4.559281081,4.284233336,0.351286248,0.334444905,0.314268847
42,3.638245235,3.698466482,6.327293081,0.266264927,0.270672218,0.463062856
43,9.284068306,10.01447017,12.91509184,0.288203106,0.310876796,0.400920099
44,3.391234658,3.447320651,3.980020734,0.31346405,0.31864828,0.36788767
45,2.033776976,2.08048491,2.666276609,0.299943283,0.306831812,0.393224906
46,5.299622359,6.052621259,4.666866387,0.330831261,0.377837549,0.29133119
47,3.292187674,3.622052344,3.909578433,0.304161391,0.334637204,0.361201405
48,3.401833408,3.515632896,3.7051998,0.320242901,0.330955794,0.348801305
49,4.188847075,4.962394945,4.233739632,0.312951275,0.3707435,0.316305225
50,3.436806202,3.637853765,4.431072503,0.298703817,0.316177503,0.38511868
51,3.194629694,3.288915455,4.300792892,0.296228631,0.304971473,0.398799896
52,4.980704541,4.762425113,4.179205736,0.357749214,0.342070851,0.300179935
53,3.287733616,3.320774118,3.747191351,0.317480606,0.320671168,0.361848227
54,4.230152864,4.397304908,4.132533926,0.331516898,0.344616596,0.323866506
55,1.877725784,1.932459447,2.43920449,0.300465464,0.309223706,0.39031083
56,2.603711659,2.713017293,3.147188159,0.3076249,0.320539209,0.371835891
57,3.246648028,3.597894279,3.817968388,0.304491889,0.337434061,0.35807405
58,3.651842879,3.736700699,6.178563075,0.269168878,0.275423552,0.45540757
59,10.30882205,11.07532179,14.00335711,0.291312519,0.312972702,0.395714779
60,5.334178886,6.100484983,4.717595468,0.330243514,0.377686171,0.292070315
61,3.366490267,3.437926168,3.673989203,0.321278865,0.328096305,0.350624831
62,4.364091475,5.194682968,4.15239577,0.318287309,0.378865034,0.302847657
63,3.525582864,3.813328205,4.831899018,0.289675284,0.313317534,0.397007182
64,3.214437182,3.292308752,4.381579769,0.295218684,0.302370524,0.402410792
65,5.376937205,5.046176999,4.321210375,0.364678434,0.342245382,0.293076183
66,3.186221558,3.212421504,3.64693094,0.317176655,0.319784763,0.363038582
67,3.335589172,3.414445258,3.662053187,0.320357386,0.327930899,0.351711714
68,4.387648661,4.553990523,4.165027112,0.334764658,0.347456052,0.31777929
69,1.840450796,1.89905781,2.39051545,0.300235493,0.309796143,0.389968364
70,2.429811359,2.525796997,2.964936676,0.306773252,0.318891817,0.374334931
71,3.239416479,3.622843541,3.744709006,0.305404538,0.341553137,0.353042325
72,3.621687105,3.725007233,6.206535544,0.267219485,0.274842769,0.457937746
73,10.78545252,11.57777667,14.21883062,0.294829011,0.316487828,0.38868316
74,5.428710753,6.24342791,4.438579843,0.336962672,0.387532555,0.275504773
75,4.499597209,5.384862,4.081373233,0.322186109,0.385574009,0.292239883
76,3.531877266,3.847810697,5.164306027,0.281559228,0.30674526,0.411695512
77,3.19899545,3.268363529,4.379533283,0.294922764,0.301317967,0.403759268
78,5.534315129,5.081961648,4.335957814,0.370132979,0.339879743,0.289987278
79,3.043610503,3.086940787,3.598867298,0.312825528,0.31727906,0.369895412
80,3.471318781,3.538945025,3.448850743,0.331894136,0.338359907,0.329745958
81,4.225669532,4.384626044,4.059647781,0.333519213,0.346065165,0.320415622
82,3.175683256,3.575064117,3.651630577,0.305284356,0.343677584,0.35103806
83,3.875302029,3.910765074,7.165227078,0.259195089,0.261566994,0.479237917
84,1.724071367,1.755786667,2.22207376,0.302366186,0.307928388,0.389705426
85,2.303382896,2.388765154,2.793120126,0.307722161,0.319128867,0.373148972
86,11.25533252,12.11584647,14.63392049,0.296153218,0.318795284,0.385051498
87,5.95652453,6.848137335,4.475306604,0.34470691,0.396304967,0.258988123
88,4.556215691,5.515157646,3.966195986,0.324572979,0.392885515,0.282541507
89,3.640894947,3.926476482,5.464082061,0.279392851,0.301307639,0.41929951
90,3.158514997,3.220349634,4.44664336,0.291765985,0.297477923,0.410756092
91,3.017851075,3.036735001,3.480113593,0.316512442,0.318492989,0.364994569
92,6.409922312,7.402851282,4.247070354,0.354926783,0.409906714,0.235166503
93,4.147420793,4.373898832,4.094536402,0.328746681,0.346698537,0.324554782
94,3.120667417,3.533286417,3.602191073,0.304272945,0.344504338,0.351222716
95,3.829863016,3.817140409,7.512779891,0.252633097,0.251793863,0.495573039
96,1.683626207,1.721522372,2.194711359,0.300655057,0.307422398,0.391922545
97,2.125865311,2.213234758,2.589311253,0.306833012,0.319443326,0.373723662
98,12.6807052,13.60757583,16.16735223,0.298681334,0.320512846,0.38080582
99,3.578957766,3.68656109,3.363440741,0.3367176,0.346841199,0.316441201
100,5.851353589,5.162402221,4.341757616,0.381058805,0.336192094,0.282749101
101,4.700909529,5.761499344,3.910030499,0.327078056,0.400871362,0.272050582
102,3.115914529,3.155136748,4.515440431,0.288871916,0.292508151,0.418619933
103,3.67254524,3.909539651,5.389090643,0.283131257,0.301402108,0.415466634
104,5.782009085,5.107075891,4.275029975,0.381295519,0.336786941,0.281917539
105,3.018667738,2.999469387,3.294756156,0.324138551,0.322077071,0.353784378
106,3.410628375,3.452253013,3.172198662,0.33987057,0.344018483,0.316110947
107,6.574971657,7.407432787,4.62000241,0.353447363,0.398197547,0.248355089
108,4.422779456,4.603848153,4.134624453,0.336045494,0.349803205,0.314151301
109,2.975394597,3.406082271,3.354031344,0.305622935,0.349861784,0.344515281
110,3.770947579,3.769840783,7.304082589,0.254023601,0.253949044,0.492027355
111,1.671650822,1.71426355,2.158088638,0.301524155,0.309210429,0.389265416
112,2.011070998,2.088738367,2.451732797,0.306961468,0.31881629,0.374222242
113,12.63930918,13.52726497,15.87715384,0.300622941,0.321742757,0.377634301
114,5.118311754,6.173218976,4.717974449,0.319704557,0.385597113,0.294698331
115,3.068175834,3.120561246,4.412662436,0.289412339,0.294353707,0.416233954
116,3.698341815,3.91750339,5.778768035,0.276106652,0.292468571,0.431424777
117,5.814791456,5.067247073,4.106702995,0.387943941,0.338070215,0.273985844
118,3.005152876,2.949704588,3.279590221,0.325428545,0.31942404,0.355147415
119,3.290044685,3.283487698,3.003626456,0.343530345,0.342845697,0.313623957
120,6.740555125,7.517906398,4.76667975,0.354297244,0.395156403,0.250546352
121,4.480677255,4.638626267,4.19737492,0.336471086,0.348332077,0.315196837
122,2.787158884,3.219874092,3.066967505,0.307158776,0.354846145,0.337995079
123,3.83589692,3.817807946,7.524806001,0.252718923,0.251527174,0.495753903
124,3.035496946,3.107753981,4.438847766,0.286852073,0.293680306,0.419467621
125,1.61427825,1.6536154,2.048442038,0.303644906,0.311044204,0.38531089
126,1.899499519,1.969683575,2.350059206,0.30542298,0.316707965,0.377869054
127,12.71337832,13.55210771,16.02033045,0.300653491,0.320488259,0.37885825
128,5.940698044,7.079398558,5.487839912,0.320981112,0.382506097,0.296512791
129,3.644869891,3.888957514,5.816498867,0.273017289,0.29130056,0.435682151
130,5.55356996,4.843933193,3.958590937,0.386844076,0.337413029,0.275742894
131,2.888692526,2.793869137,2.961700492,0.334174563,0.323205045,0.342620392
132,6.739023354,7.408298153,4.958441738,0.352722017,0.387752013,0.25952597
133,2.594936356,2.976258649,2.949724195,0.304537139,0.349288449,0.346174412
134,3.887640717,3.841948885,7.865548149,0.249285436,0.246355559,0.504359004
135,2.958888345,3.044308762,4.45996777,0.282790951,0.290954869,0.42625418
136,1.727187516,1.771246399,2.216508506,0.302223083,0.309932501,0.387844416
137,3.02579841,3.035736593,2.970234849,0.335017218,0.336117576,0.328865206
138,4.483426053,4.589124028,4.473377458,0.330979628,0.338782561,0.330237811
139,1.615191229,1.648511512,2.157794382,0.297923469,0.304069425,0.398007106
